Date,Open,High,Low,Close,Volume
3/1/2022 16:00:00,33813.48,33870.14,33107.67,33294.95,442312708
3/2/2022 16:00:00,33379.51,34013.67,33379.51,33891.35,402813898
3/3/2022 16:00:00,33972.87,34179.07,33641.53,33794.66,369873269
3/4/2022 16:00:00,33655.43,33655.43,33254.12,33614.8,412932743
3/7/2022 16:00:00,33579.75,33579.75,32806.15,32817.38,493671716
3/8/2022 16:00:00,32885.17,33402.98,32578.73,32632.64,553748229
3/9/2022 16:00:00,32860.42,33457.28,32860.42,33286.25,421550881
3/10/2022 16:00:00,33106.77,33236.59,32819.76,33174.07,399476674
3/11/2022 16:00:00,33279.72,33515.61,32911.89,32944.19,369478643
3/14/2022 16:00:00,33000.37,33395.59,32818.16,32945.24,401146503
3/15/2022 16:00:00,32989.27,33620.84,32989.27,33544.34,394820452
3/16/2022 16:00:00,33653.93,34075.94,33391.24,34063.1,430180033
3/17/2022 16:00:00,33995.39,34483.92,33896.06,34480.76,339473776
3/18/2022 16:00:00,34466.72,34755.2,34279.83,34754.93,627893612
3/21/2022 16:00:00,34669.85,34808.28,34341.81,34552.99,408489043
3/22/2022 16:00:00,34583.24,34882.03,34583.24,34807.46,368547976
3/23/2022 16:00:00,34748.84,34748.84,34352.96,34358.5,349592672
3/24/2022 16:00:00,34406.81,34713.56,34355.42,34707.94,324865721
3/25/2022 16:00:00,34702.39,34942.7,34631.52,34861.24,287067515
3/28/2022 16:00:00,34833.03,34957.93,34552.23,34955.89,302859610
3/29/2022 16:00:00,35114.35,35372.26,35030.07,35294.19,355051944
3/30/2022 16:00:00,35273.63,35361.36,35058.58,35228.81,324668007
3/31/2022 16:00:00,35201.52,35201.52,34677.99,34678.35,438355525
4/1/2022 16:00:00,34740.89,34847.91,34538.25,34818.27,346813587
4/4/2022 16:00:00,34799.98,34940.78,34615.38,34921.88,317557951
4/5/2022 16:00:00,34876.33,35112.21,34566.04,34641.18,308983285
4/6/2022 16:00:00,34520.34,34609.84,34277.17,34496.51,386247179
4/7/2022 16:00:00,34439.24,34705.83,34190.95,34583.57,324812078
4/8/2022 16:00:00,34569.24,34908.46,34470.19,34721.12,306295261
4/11/2022 16:00:00,34630.27,34701.34,34272.29,34308.08,336626210
4/12/2022 16:00:00,34412.51,34669.97,34102.81,34220.36,333507915
4/13/2022 16:00:00,34166.64,34598.36,34140.64,34564.59,313630644
4/14/2022 16:00:00,34628.46,34889.17,34437.5,34451.23,353682642
4/18/2022 16:00:00,34411.49,34618.29,34279.08,34411.69,268822431
4/19/2022 16:00:00,34394.62,34983.11,34394.62,34911.2,303438547
4/20/2022 16:00:00,34962.67,35315.4,34962.67,35160.79,338741518
4/21/2022 16:00:00,35258.8,35492.22,34723.82,34792.76,371916323
4/22/2022 16:00:00,34727.38,34727.38,33773.39,33811.4,379807789
4/25/2022 16:00:00,33731.65,34106.01,33323.37,34049.46,417998790
4/26/2022 16:00:00,33907.49,33909.51,33230.95,33240.18,403703232
4/27/2022 16:00:00,33450.92,33697.18,33108.89,33301.93,456285628
4/28/2022 16:00:00,33425.96,34054.79,33248.46,33916.39,451595524
4/29/2022 16:00:00,33787.01,33919.59,32913.15,32977.21,501563555
5/2/2022 16:00:00,32978.49,33224.95,32449.87,33061.5,453388591
5/3/2022 16:00:00,33086.09,33341.58,32914.75,33128.79,364422771
5/4/2022 16:00:00,33171.8,34117.74,33021.84,34061.06,412374232
5/5/2022 16:00:00,33854.17,33854.17,32685.1,32997.97,448418904
5/6/2022 16:00:00,32773.88,33055.84,32474.69,32899.37,418136925
5/9/2022 16:00:00,32685.17,32685.17,32121.98,32245.7,475106881
5/10/2022 16:00:00,32504.09,32752.17,31887.89,32160.74,440668104
5/11/2022 16:00:00,32123.24,32584.02,31798.86,31834.11,458460376
5/12/2022 16:00:00,31699.04,31914.46,31228.22,31730.3,544238042
5/13/2022 16:00:00,31963.86,32276.05,31862.79,32196.66,388523772
5/16/2022 16:00:00,32152.15,32514.02,31928.18,32223.42,332699773
5/17/2022 16:00:00,32427,32689.14,32308.15,32654.59,389313710
5/18/2022 16:00:00,32468.67,32468.67,31393.95,31490.07,465059234
