Date,Price,Open,High,Low,Change %
12/22/2015,45.36,45.13,46.01,45.1,0.07%
12/21/2015,45.33,45.13,46.04,45.11,1.77%
12/18/2015,44.54,43.59,45.4,43.59,3.08%
12/17/2015,43.21,46.11,46.11,43.18,-7.47%
12/16/2015,46.7,45.31,46.91,45.31,4.52%
12/15/2015,44.68,44.91,45.33,44.18,0.25%
12/14/2015,44.57,47.05,47.11,44.54,-5.99%
12/11/2015,47.41,46.83,48.2,46.5,0.08%
12/10/2015,47.37,47.02,48.24,46.92,0.34%
12/9/2015,47.21,47.16,48.28,46.74,1.59%
12/8/2015,46.47,47.21,47.3,45.98,-1.75%
12/7/2015,47.3,49.38,49.38,46.93,-5.31%
12/4/2015,49.95,47.56,49.96,47.56,5.89%
12/3/2015,47.17,46.89,47.89,46.64,1.35%
12/2/2015,46.54,47.06,47.35,45.76,-2.41%
12/1/2015,47.69,46.33,47.77,45.93,3.34%
11/30/2015,46.15,45.17,46.24,45.15,2.74%
11/27/2015,44.92,45.19,45.48,44.75,-2.26%
11/25/2015,45.96,45.61,46.72,45.33,-0.41%
11/24/2015,46.15,44.86,46.36,44.86,3.89%
11/23/2015,44.42,44.39,44.91,44.09,-0.78%
11/20/2015,44.77,46.72,47.08,44.54,-3.76%
11/19/2015,46.52,45.9,46.99,45.67,2.29%
11/18/2015,45.48,43.83,45.58,43.35,4.24%
11/17/2015,43.63,45.79,45.8,43.44,-5.38%
11/16/2015,46.11,45.8,46.6,45.8,1.21%
11/13/2015,45.56,45.01,45.92,44.87,0.73%
11/12/2015,45.23,45.21,46.42,44.5,-1.55%
11/11/2015,45.94,45.65,46.12,45.24,0.57%
11/10/2015,45.68,46.29,46.57,45.6,-2.91%
11/9/2015,47.05,46,47.17,45.22,2.26%
11/6/2015,46.01,47.49,47.49,45.69,-4.62%
11/5/2015,48.24,50.39,50.39,47.91,-4.46%
11/4/2015,50.49,52.33,52.67,50.36,-2.62%
11/3/2015,51.85,51.38,52.33,50.96,-0.13%
11/2/2015,51.92,51.06,52.4,50.38,0.91%
10/30/2015,51.45,52.19,53.08,51.45,-1.53%
10/29/2015,52.25,53.71,54.44,51.88,-3.40%
10/28/2015,54.09,55.14,57.3,53.21,-0.88%
10/27/2015,54.57,54.29,55.26,53.59,0.06%
10/26/2015,54.54,56.19,56.22,54.54,-3.13%
10/23/2015,56.3,55.27,56.69,54.35,2.57%
10/22/2015,54.89,53.63,55.49,53.59,2.31%
10/21/2015,53.65,55.16,55.16,53.39,-3.58%
10/20/2015,55.64,53.99,56.17,53.94,3.83%
10/19/2015,53.59,55.7,56.13,53.36,-4.35%
10/16/2015,56.03,57.83,58.14,55.97,-3.33%
10/15/2015,57.96,57.32,58.12,56.39,0.31%
10/14/2015,57.78,54.79,57.93,54.79,6.88%
10/13/2015,54.06,53.83,55.16,53.24,0.20%
10/12/2015,53.95,56.72,57.07,53.43,-3.73%
10/9/2015,56.04,54.57,56.26,54.57,4.45%
10/8/2015,53.65,53.35,55.91,52.95,-0.61%
10/7/2015,53.98,53.65,54.49,52.92,1.12%
10/6/2015,53.38,51.89,54.1,51.87,4.10%
10/5/2015,51.28,49.2,51.37,49.18,4.61%
10/2/2015,49.02,46.14,49.05,46.11,8.45%
10/1/2015,45.2,46.76,47.36,44.97,-2.27%
09/30/2015,46.25,44.52,46.25,44.32,3.14%
09/29/2015,44.84,44.9,45.93,44.62,0.47%
09/28/2015,44.63,46.34,46.34,44.54,-5.58%
09/25/2015,47.27,47.28,47.62,46.84,-1.29%
09/24/2015,47.89,45.35,48.01,45.32,7.35%
09/23/2015,44.61,45.78,45.99,44.48,-1.37%
09/22/2015,45.23,46.47,46.47,44.95,-4.66%
09/21/2015,47.44,48.33,48.54,47.36,-2.53%
09/18/2015,48.67,48.84,49.77,47.66,0.41%
09/17/2015,48.47,46.95,49.04,46.39,2.45%
09/16/2015,47.31,44.78,47.37,44.78,6.87%
09/15/2015,44.27,44.23,45.34,44.01,0.00%
09/14/2015,44.27,44.62,45.13,43.55,-1.69%
9/11/2015,45.03,44.04,45.15,42.72,1.33%
9/10/2015,44.44,44.87,45.42,44.16,-0.09%
9/9/2015,44.48,45.52,46.01,44.22,-2.82%
9/8/2015,45.77,45.45,46.39,45.08,0.97%
9/4/2015,45.33,45.29,45.47,44.26,-0.64%
9/3/2015,45.62,45.66,47.88,45.59,-1.32%
9/2/2015,46.23,46.71,47.37,45.26,-1.24%
9/1/2015,46.81,48.47,49.45,46.69,-3.35%
08/31/2015,48.43,48.17,48.63,46.64,-0.80%
08/28/2015,48.82,46.88,49.32,46.87,4.23%
08/27/2015,46.84,44.18,47.49,44,6.53%
08/26/2015,43.97,45.9,45.9,43.59,-4.81%
08/25/2015,46.19,48.59,48.76,46.05,-3.95%
08/24/2015,48.09,51.75,52.81,47.77,-7.82%
08/21/2015,52.17,54.14,54.74,51.87,-2.94%
08/20/2015,53.75,52.51,54.65,52.51,3.44%
08/19/2015,51.96,50.89,52.25,50.89,2.77%
08/18/2015,50.56,50.86,51.15,49.87,-1.94%
08/17/2015,51.56,50.13,51.75,50.13,3.72%
08/14/2015,49.71,50.78,51.29,49.34,-0.76%
08/13/2015,50.09,52.17,52.17,49.79,-5.24%
8/12/2015,52.86,50.31,52.91,50.31,6.85%
8/11/2015,49.47,49.44,49.62,47.65,0.47%
8/10/2015,49.24,45.97,49.26,45.4,7.75%
8/7/2015,45.7,45.95,47.51,45.46,-0.35%
8/6/2015,45.86,44.78,46.69,44.45,3.03%
8/5/2015,44.51,45.99,46.69,44.46,-2.54%
8/4/2015,45.67,45.95,46.54,45.14,0.29%
8/3/2015,45.54,47.34,47.34,45.39,-4.27%
07/31/2015,47.57,47.21,48,46.9,1.99%
07/30/2015,46.64,48.05,48.05,46.36,-3.58%
07/29/2015,48.37,47.41,48.82,47.11,1.90%
07/28/2015,47.47,47,47.98,46.87,1.74%
07/27/2015,46.66,48.2,49.77,46.34,-3.83%
07/24/2015,48.52,46.85,48.8,45.74,2.60%
07/23/2015,47.29,50.04,50.15,47.04,-4.75%
07/22/2015,49.65,49.46,50.31,48.24,-0.72%
07/21/2015,50.01,48.87,51.25,48.87,2.84%
07/20/2015,48.63,53.43,53.43,48.53,-10.28%
07/17/2015,54.2,56.42,56.42,54.11,-4.75%
07/16/2015,56.9,57.3,57.33,56.6,-0.78%
07/15/2015,57.35,58.63,58.63,57.25,-2.80%
07/14/2015,59,59.36,59.99,59,-0.81%
07/13/2015,59.48,58.55,59.48,57.58,0.80%
7/10/2015,59.01,59.95,60.19,58.7,-1.14%
7/9/2015,59.69,60.83,60.93,59.42,-0.43%
7/8/2015,59.95,60.74,61.41,59.87,-0.76%
7/7/2015,60.41,62.46,62.46,59.94,-4.87%
7/6/2015,63.5,62.34,64.04,61.9,1.36%
7/2/2015,62.65,61.61,62.69,61.61,2.09%
7/1/2015,61.37,63.05,63.05,61.09,-2.80%
06/30/2015,63.14,63.5,64.16,62.77,-1.20%
06/29/2015,63.91,64.77,64.98,63.83,-1.19%
06/26/2015,64.68,64.88,65.34,64.64,-0.65%
06/25/2015,65.1,65.8,66.13,64.95,-1.14%
06/24/2015,65.85,65.66,66.43,65.56,0.17%
06/23/2015,65.74,65.27,66.2,65.21,0.21%
06/22/2015,65.6,66.17,66.36,65.55,-1.58%
06/19/2015,66.65,68.12,68.27,66.31,-2.52%
06/18/2015,68.37,68.16,68.94,68.07,1.36%
06/17/2015,67.45,65.89,67.54,65.43,2.21%
06/16/2015,65.99,66.62,66.62,65.89,-1.43%
06/15/2015,66.95,66.32,67.74,65.97,0.60%
6/12/2015,66.55,66.94,67.27,66.27,-0.86%
6/11/2015,67.13,68.16,68.16,66.95,-1.96%
6/10/2015,68.47,68.44,68.96,68.07,1.35%
6/9/2015,67.56,68.41,69.06,67.47,-0.84%
6/8/2015,68.13,67.91,68.13,67,0.61%
6/5/2015,67.72,68.21,68.22,66.99,-1.33%
6/4/2015,68.63,68.55,68.74,68.03,-0.90%
6/3/2015,69.25,70.18,70.56,68.97,-1.81%
6/2/2015,70.53,69.63,70.92,69.62,1.79%
6/1/2015,69.29,70.1,70.66,69.13,-0.59%
05/29/2015,69.7,69.86,70.38,69.27,-0.19%
05/28/2015,69.83,68.7,69.9,68.17,1.56%
05/27/2015,68.76,68.62,68.93,67.93,0.10%
05/26/2015,68.69,70.05,70.06,68.28,-3.59%
05/22/2015,71.25,71.77,71.98,71.11,-0.84%
05/21/2015,71.85,71.99,72.22,71.6,-0.31%
05/20/2015,72.07,72.19,72.86,72.04,0.13%
05/19/2015,71.98,73.8,73.82,71.95,-3.86%
05/18/2015,74.87,75.35,75.81,74.71,-0.33%
05/15/2015,75.12,74.75,75.92,74.45,-0.32%
05/14/2015,75.36,75.95,77.06,75.11,0.16%
05/13/2015,75.24,74.38,75.88,74.38,2.33%
5/12/2015,73.53,73.07,73.83,72.85,1.03%
5/11/2015,72.78,72.67,73.43,72.19,0.43%
5/8/2015,72.47,72.06,72.9,71.34,0.95%
5/7/2015,71.79,71.17,71.87,69.88,0.35%
5/6/2015,71.54,73.29,73.45,71.22,-1.91%
5/5/2015,72.93,74.29,74.84,72.47,-0.71%
5/4/2015,73.45,73.89,74.57,73.15,0.36%
5/1/2015,73.19,72.33,73.43,72.17,0.44%
04/30/2015,72.87,73.8,73.8,71.95,-2.46%
04/29/2015,74.71,74.14,75.41,73.71,0.80%
04/28/2015,74.12,72.08,74.32,72.07,3.40%
04/27/2015,71.68,70.52,73,70.52,2.47%
04/24/2015,69.95,70.47,71.36,69.79,-0.96%
04/23/2015,70.63,69.56,71.06,69.14,1.80%
04/22/2015,69.38,71.08,71.17,69.3,-2.58%
04/21/2015,71.22,71.05,71.67,70.55,0.03%
04/20/2015,71.2,70.68,71.27,70.02,0.35%
04/17/2015,70.95,71.2,71.99,70.58,0.07%
04/16/2015,70.9,72.18,72.64,70.56,-1.29%
04/15/2015,71.83,69.36,72,69.36,3.94%
04/14/2015,69.11,68.53,69.65,68.41,1.19%
04/13/2015,68.3,69.2,69.39,68.25,-1.40%
4/10/2015,69.27,68.29,69.38,68.29,2.36%
4/9/2015,67.67,67.41,68.21,66.98,-0.60%
4/8/2015,68.08,69.21,69.47,67.7,-1.43%
4/7/2015,69.07,69.97,70.54,68.94,-2.00%
4/6/2015,70.48,68.87,70.82,68.87,3.71%
4/2/2015,67.96,68.45,69.17,67.31,-1.36%
4/1/2015,68.9,66.04,69.1,66.04,5.19%
03/31/2015,65.5,66.36,66.79,65.1,-1.53%
03/30/2015,66.52,66.88,67.35,66.13,-1.79%
03/27/2015,67.73,68.1,68.67,66.75,-0.97%
03/26/2015,68.39,70.39,71.47,67.85,-1.58%
03/25/2015,69.49,71.1,71.44,69.43,-1.52%
03/24/2015,70.56,70.86,71.15,70,-0.35%
03/23/2015,70.81,69.58,70.99,69.58,2.22%
03/20/2015,69.27,67.68,70.27,67.68,3.03%
03/19/2015,67.23,67.34,67.83,66.15,-0.52%
03/18/2015,67.58,64.17,67.66,63.76,4.95%
03/17/2015,64.39,64.89,65.89,64.18,-1.69%
03/16/2015,65.5,65.73,66,64.07,-0.12%
03/13/2015,65.58,65.55,65.68,63.55,0.02%
3/12/2015,65.57,66.39,66.88,64.9,-0.61%
3/11/2015,65.97,63.83,66.1,62.48,3.43%
3/10/2015,63.78,64.87,65.98,63.23,-2.22%
3/9/2015,65.23,67.94,67.96,64.99,-3.51%
3/6/2015,67.6,71.55,71.55,67.23,-6.80%
3/5/2015,72.53,72.94,73.75,72.09,-0.22%
3/4/2015,72.69,73.71,73.85,72.37,-1.52%
3/3/2015,73.81,75.41,76.26,73.57,-1.93%
3/2/2015,75.26,76.92,76.97,74.72,-2.18%
02/27/2015,76.94,76.1,77.63,76.1,1.45%
02/26/2015,75.84,76.28,76.61,75.65,0.58%
02/25/2015,75.4,74.69,75.7,74.43,1.92%
02/24/2015,73.98,73.73,74.8,73.34,-0.34%
02/23/2015,74.23,73.77,75.13,73.23,-0.07%
02/20/2015,74.28,74.92,76.17,74.25,-0.54%
02/19/2015,74.68,76.52,76.71,74.42,-2.34%
02/18/2015,76.47,74.77,76.66,73.92,2.23%
02/17/2015,74.8,76.49,76.49,74.63,-3.01%
02/13/2015,77.12,77.23,78.12,76.92,0.84%
2/12/2015,76.48,75.81,76.93,75.48,1.47%
2/11/2015,75.37,77,77.19,75.1,-1.96%
